Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Import_€_Any
2018,1,Ciutat Vella,1,el Raval,12351
2018,1,Ciutat Vella,2,el Barri Gòtic,14598
2018,1,Ciutat Vella,3,la Barceloneta,16271
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17803
2018,2,Eixample,5,el Fort Pienc,21890
2018,2,Eixample,6,la Sagrada Família,22128
2018,2,Eixample,7,la Dreta de l'Eixample,28044
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,26337
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,24528
2018,2,Eixample,10,Sant Antoni,21916
2018,3,Sants-Montjuïc,11,el Poble Sec,16091
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,13135
2018,3,Sants-Montjuïc,13,la Marina de Port,16997
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,20011
2018,3,Sants-Montjuïc,15,Hostafrancs,19413
2018,3,Sants-Montjuïc,16,la Bordeta,19996
2018,3,Sants-Montjuïc,17,Sants - Badal,19584
2018,3,Sants-Montjuïc,18,Sants,20967
2018,4,Les Corts,19,les Corts,27551
2018,4,Les Corts,20,la Maternitat i Sant Ramon,25146
2018,4,Les Corts,21,Pedralbes,35361
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",25235
2018,5,Sarrià-Sant Gervasi,23,Sarrià,32373
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,38270
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,33225
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,35165
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28671
2018,6,Gràcia,28,Vallcarca i els Penitents,25023
2018,6,Gràcia,29,el Coll,20037
2018,6,Gràcia,30,la Salut,23527
2018,6,Gràcia,31,la Vila de Gràcia,22757
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,24015
2018,7,Horta-Guinardó,33,el Baix Guinardó,21070
2018,7,Horta-Guinardó,34,Can Baró,19924
2018,7,Horta-Guinardó,35,el Guinardó,20637
2018,7,Horta-Guinardó,36,la Font d'en Fargues,23604
2018,7,Horta-Guinardó,37,el Carmel,15678
2018,7,Horta-Guinardó,38,la Teixonera,17317
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,17986
2018,7,Horta-Guinardó,40,Montbau,18383
2018,7,Horta-Guinardó,41,la Vall d'Hebron,22394
2018,7,Horta-Guinardó,42,la Clota,20311
2018,7,Horta-Guinardó,43,Horta,19367
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,19080
2018,8,Nou Barris,45,Porta,16879
2018,8,Nou Barris,46,el Turó de la Peira,14632
2018,8,Nou Barris,47,Can Peguera,13577
2018,8,Nou Barris,48,la Guineueta,19093
2018,8,Nou Barris,49,Canyelles,17750
2018,8,Nou Barris,50,les Roquetes,13643
2018,8,Nou Barris,51,Verdun,14490
2018,8,Nou Barris,52,la Prosperitat,15948
2018,8,Nou Barris,53,la Trinitat Nova,12747
2018,8,Nou Barris,54,Torre Baró,12140
2018,8,Nou Barris,55,Ciutat Meridiana,11363
2018,8,Nou Barris,56,Vallbona,12246
2018,9,Sant Andreu,57,la Trinitat Vella,12671
2018,9,Sant Andreu,58,Baró de Viver,12823
2018,9,Sant Andreu,59,el Bon Pastor,15308
2018,9,Sant Andreu,60,Sant Andreu,21112
2018,9,Sant Andreu,61,la Sagrera,19566
2018,9,Sant Andreu,62,el Congrés i els Indians,19827
2018,9,Sant Andreu,63,Navas,20051
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,20753
2018,10,Sant Martí,65,el Clot,20415
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20601
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,30579
2018,10,Sant Martí,68,el Poblenou,21557
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,24081
2018,10,Sant Martí,70,el Besòs i el Maresme,12981
2018,10,Sant Martí,71,Provençals del Poblenou,19975
2018,10,Sant Martí,72,Sant Martí de Provençals,18447
2018,10,Sant Martí,73,la Verneda i la Pau,16710
